x,y
2907.171218,175.2444315
3592.255225,207.9760176
4250,227
4875.399709,219.186816
5463.694682,223.4132741
6010.40764,239.5634919
6511.377767,243.5297775
6962.792376,240.2134497
7361.215932,229.5255888
7703.61619,237.3877131
7987.387277,245.7323766
8210.369523,244.5036818
8370.865901,246.6577057
8467.654934,244.1628336
8500,243
